MS2 m/z,Relative Intensity in %
101.0051,2.17
110.0717,5.86
117.5789,2.7
120.0807,3.16
129.1021,10.19
132.1018,14.04
136.0756,100
137.0791,4.98
142.2156,2.39
143.1179,37.03
171.1125,25.49
172.1171,2.25
190.7361,2.47
249.1609,2.68
278.1368,3.78
288.6671,5.77
295.1639,15.94
302.7608,5.86
324.1817,4.03
325.1578,3.35
338.1787,3.02
370.1965,10.54
370.6954,2.49
373.718,13.79
374.2159,3.6
405.7179,3.99
486.7456,2.33
505.2488,3.06
522.2784,3.87
535.307,2.57
547.2943,4.93
576.3209,6.72
587.287,3.66
604.3202,17.65
647.361,7.12
648.3582,2.82
658.329,3.5
675.358,17.63
676.3568,7.23
735.4158,18.66
736.4178,7.34
739.3857,3.05
746.4313,27.05
747.4222,9.42
767.3794,8.82
774.2793,3.85
774.4269,33.04
775.4256,7.5
785.3965,5.09
804.7867,2.91
810.4195,3.44
838.4261,3.43
898.4782,74.94
899.4782,30.59
909.4807,8.48
937.4789,9.37
938.4865,5.34
969.5107,27.87
970.5172,14.36
